Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.846,203,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.8542,0.9122,0.075,0.9487
Adam,10,0.999,0.733,176,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.8708,0.8182,0.1583,0.9674
Adam,20,1.0,0.821,197,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.9083,0.8716,0.1167,0.9747
Adam,40,1.0,0.85,204,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.9333,0.8929,0.1,0.9844
Adam,60,1.0,0.742,178,"BO(30), EM(30), NM(30)",0.9375,0.76,0.225,0.975
AdamW,5,1.0,0.821,197,"BO(30), BG(30), DT(30), EM(30), NM(30), VK(30)",0.8625,0.8889,0.0958,0.9559
AdamW,10,1.0,0.871,209,"BO(30), BG(30), DT(30), EM(30), NM(30), VK(30)",0.8792,0.9289,0.0625,0.9646
AdamW,20,1.0,0.771,185,"BO(30), DT(30), NM(30)",0.8458,0.867,0.1125,0.9646
AdamW,40,1.0,0.762,183,"BO(30), BG(30), DT(30), NM(30), VK(30)",0.8917,0.8364,0.1458,0.9879
AdamW,60,1.0,0.812,195,"BO(30), BG(30), DT(30), EM(30), NM(30), VK(30)",0.9,0.8472,0.1375,0.9673
RMSProp,5,0.363,0.204,49,VK(23),0.0,0.0,0.0,0.4619
RMSProp,10,0.598,0.233,56,NM(26),0.6625,0.2893,0.4708,0.8626
RMSProp,20,0.965,0.283,68,"NM(25), VK(25)",0.6875,0.3212,0.4667,0.8837
RMSProp,40,0.994,0.329,79,VK(21),0.7042,0.355,0.4542,0.8886
RMSProp,60,0.975,0.367,88,NM(23),0.7458,0.3575,0.4792,0.8561
Lion,5,0.994,0.621,149,NM(30),0.7542,0.7348,0.2,0.9185
Lion,10,0.998,0.625,150,NM(30),0.7417,0.7079,0.2167,0.9041
Lion,20,1.0,0.713,171,"DT(30), NM(30)",0.8917,0.7617,0.2125,0.9716
Lion,40,0.997,0.65,156,NM(30),0.6083,0.8356,0.1,0.8801
Lion,60,0.998,0.671,161,DT(30),0.8458,0.7389,0.2208,0.955
Aida,5,1.0,0.733,176,"BO(30), NM(30)",0.7667,0.8587,0.1083,0.9196
Aida,10,1.0,0.717,172,"BO(30), NM(30)",0.8,0.8333,0.1333,0.9441
Aida,20,1.0,0.842,202,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.8917,0.9159,0.075,0.9708
Aida,40,1.0,0.775,186,"BO(30), BG(30), EM(30), NM(30)",0.8333,0.875,0.1042,0.9549
Aida,60,1.0,0.771,185,"BO(30), DT(30), EM(30), NM(30)",0.8292,0.8945,0.0875,0.9667
