Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.608,146,"BO(30), NM(30)",0.6083,0.863,0.0833,0.8997
Adam,10,1.0,0.671,161,"EM(30), NM(30)",0.7667,0.7717,0.175,0.9184
Adam,20,1.0,0.637,153,"BO(30), EM(30), NM(30)",0.725,0.7644,0.1708,0.9292
Adam,40,1.0,0.746,179,"BG(30), EM(30), NM(30)",0.8292,0.8392,0.1333,0.9444
Adam,60,1.0,0.708,170,NM(30),0.8125,0.7744,0.1833,0.9289
AdamW,5,1.0,0.692,166,NM(30),0.625,0.86,0.0875,0.8705
AdamW,10,1.0,0.692,166,"BG(30), EM(30), NM(30)",0.8333,0.76,0.2,0.931
AdamW,20,1.0,0.654,157,NM(30),0.6875,0.8121,0.1292,0.9158
AdamW,40,1.0,0.6,144,"EM(30), NM(30)",0.7917,0.6684,0.2625,0.9366
AdamW,60,1.0,0.654,157,"EM(30), NM(30)",0.8417,0.7327,0.225,0.9563
RMSProp,5,0.995,0.604,145,EM(30),0.6208,0.7248,0.1708,0.8428
RMSProp,10,0.997,0.558,134,NM(29),0.5542,0.7218,0.1542,0.8358
RMSProp,20,0.994,0.5,120,DT(30),0.6542,0.5987,0.2625,0.8832
RMSProp,40,1.0,0.571,137,NM(29),0.6042,0.7793,0.1333,0.8823
RMSProp,60,1.0,0.562,135,"DT(28), NM(28)",0.5292,0.7874,0.1125,0.8418
Lion,5,1.0,0.754,181,NM(30),0.6625,0.9119,0.0583,0.877
Lion,10,1.0,0.675,162,VK(30),0.7042,0.8166,0.1292,0.9088
Lion,20,1.0,0.596,143,"BG(30), EM(30), NM(30)",0.775,0.6667,0.2583,0.9248
Lion,40,1.0,0.725,174,"EM(30), NM(30)",0.8958,0.7721,0.2042,0.9655
Lion,60,0.999,0.692,166,"BG(30), DT(30), NM(30)",0.7833,0.7872,0.1667,0.9318
Aida,5,1.0,0.554,133,NM(30),0.4917,0.839,0.0792,0.8386
Aida,10,1.0,0.671,161,"BO(30), NM(30)",0.65,0.8462,0.1,0.8703
Aida,20,1.0,0.667,160,"BO(30), NM(30)",0.6875,0.7818,0.15,0.8784
Aida,40,1.0,0.662,159,"BO(30), NM(30)",0.7417,0.8034,0.1458,0.9238
Aida,60,1.0,0.7,168,"BO(30), BG(30), EM(30), NM(30)",0.8125,0.7744,0.1833,0.933
