Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.658,158,NM(30),0.625,0.82,0.1125,0.8617
Adam,10,1.0,0.646,155,"BO(30), NM(30)",0.6458,0.8323,0.1083,0.892
Adam,20,1.0,0.658,158,NM(30),0.7083,0.8059,0.1375,0.9064
Adam,40,1.0,0.667,160,"EM(30), NM(30)",0.7458,0.7933,0.1542,0.9303
Adam,60,1.0,0.771,185,"BO(30), EM(30), NM(30)",0.8375,0.8308,0.1417,0.9399
AdamW,5,1.0,0.667,160,"EM(30), NM(30)",0.5833,0.8429,0.0917,0.8454
AdamW,10,1.0,0.658,158,"EM(30), NM(30)",0.6292,0.8146,0.1167,0.8634
AdamW,20,1.0,0.75,180,"EM(30), NM(30)",0.7167,0.8779,0.0875,0.8911
AdamW,40,1.0,0.758,182,NM(30),0.8292,0.8191,0.15,0.9175
AdamW,60,1.0,0.733,176,"BO(30), BG(30), EM(30), NM(30)",0.8083,0.8196,0.1458,0.9325
RMSProp,5,0.997,0.65,156,NM(29),0.5125,0.813,0.0958,0.8071
RMSProp,10,0.993,0.492,118,NM(30),0.55,0.697,0.1667,0.8741
RMSProp,20,0.968,0.537,129,VK(28),0.6,0.7222,0.1667,0.8732
RMSProp,40,1.0,0.537,129,NM(30),0.6625,0.6352,0.2417,0.8755
RMSProp,60,0.999,0.417,100,BG(25),0.6458,0.5355,0.3,0.9078
Lion,5,0.995,0.404,97,NM(30),0.7583,0.456,0.4125,0.9153
Lion,10,0.998,0.588,141,BO(30),0.7542,0.6906,0.2333,0.9279
Lion,20,0.996,0.621,149,VK(30),0.725,0.7241,0.2,0.9018
Lion,40,0.998,0.542,130,"BO(30), EM(30)",0.7792,0.6096,0.3042,0.9308
Lion,60,1.0,0.571,137,BO(27),0.825,0.6111,0.3208,0.9248
Aida,5,1.0,0.596,143,"EM(30), NM(30)",0.5375,0.8372,0.0875,0.858
Aida,10,1.0,0.613,147,NM(30),0.6042,0.7931,0.125,0.8737
Aida,20,1.0,0.625,150,NM(30),0.6875,0.7515,0.1708,0.889
Aida,40,1.0,0.637,153,"EM(30), NM(30)",0.7333,0.7443,0.1875,0.9242
Aida,60,1.0,0.646,155,"EM(30), NM(30)",0.7458,0.7821,0.1625,0.9351
