Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.604,145,"EM(30), NM(30)",0.7583,0.7198,0.2125,0.9383
Adam,10,1.0,0.625,150,"BO(30), NM(30)",0.7583,0.7637,0.1792,0.9478
Adam,20,1.0,0.658,158,"EM(30), NM(30)",0.7458,0.8156,0.1375,0.9445
Adam,40,1.0,0.771,185,"BO(30), BG(30), EM(30), NM(30)",0.7542,0.9061,0.0708,0.9312
Adam,60,1.0,0.812,195,"BG(30), NM(30)",0.8583,0.8835,0.1,0.9653
AdamW,5,1.0,0.571,137,"EM(30), NM(30)",0.7458,0.6927,0.2292,0.9296
AdamW,10,1.0,0.646,155,"BO(30), BG(30), EM(30), NM(30)",0.7625,0.7596,0.1833,0.9267
AdamW,20,1.0,0.696,167,"BO(30), NM(30)",0.7417,0.8371,0.1208,0.9294
AdamW,40,1.0,0.733,176,"BO(30), EM(30), NM(30)",0.8167,0.8265,0.1417,0.951
AdamW,60,1.0,0.742,178,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.875,0.8238,0.1542,0.9759
RMSProp,5,0.986,0.542,130,NM(29),0.4042,0.8866,0.0458,0.7942
RMSProp,10,0.883,0.45,108,"DT(27), VK(27)",0.6958,0.5329,0.325,0.8986
RMSProp,20,1.0,0.604,145,NM(29),0.3542,0.9412,0.0208,0.7419
RMSProp,40,0.978,0.6,144,"BG(29), DT(29)",0.4792,0.8174,0.0875,0.8177
RMSProp,60,1.0,0.521,125,NM(29),0.525,0.8016,0.1042,0.8753
Lion,5,0.996,0.704,169,"BG(30), EM(30)",0.675,0.8148,0.125,0.8561
Lion,10,0.991,0.696,167,"BO(30), NM(30)",0.7292,0.8514,0.1083,0.9219
Lion,20,0.998,0.65,156,BG(29),0.8208,0.6802,0.2625,0.9258
Lion,40,0.998,0.642,154,"BG(30), EM(30)",0.8458,0.7143,0.2417,0.9617
Lion,60,0.998,0.571,137,NM(30),0.8792,0.6019,0.35,0.9568
Aida,5,1.0,0.592,142,NM(30),0.5875,0.8227,0.1042,0.888
Aida,10,1.0,0.604,145,NM(30),0.6667,0.7937,0.1375,0.911
Aida,20,1.0,0.625,150,"BO(30), BG(30), NM(30)",0.7083,0.7529,0.175,0.9132
Aida,40,1.0,0.583,140,"BO(30), EM(30), NM(30)",0.7042,0.7574,0.1708,0.9401
Aida,60,1.0,0.588,141,"BO(30), NM(30)",0.6583,0.7785,0.1458,0.9315
