Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,1.0,0.675,162,"BO(30), EM(30), NM(30)",0.7292,0.8057,0.1417,0.9193
Adam,10,0.97,0.496,119,NM(30),0.6167,0.6689,0.2042,0.8996
Adam,20,1.0,0.783,188,"BO(30), BG(30), EM(30), NM(30), VK(30)",0.8167,0.8724,0.1042,0.9334
Adam,40,1.0,0.775,186,"EM(30), NM(30)",0.8125,0.8769,0.1,0.9439
Adam,60,1.0,0.746,179,"BO(30), NM(30)",0.7542,0.9006,0.075,0.93
AdamW,5,1.0,0.796,191,"BO(30), EM(30), NM(30)",0.75,0.9278,0.0542,0.9057
AdamW,10,1.0,0.738,177,"EM(30), NM(30)",0.75,0.8389,0.1208,0.903
AdamW,20,1.0,0.729,175,"BO(30), BG(30), EM(30), NM(30)",0.8667,0.774,0.1958,0.9444
AdamW,40,1.0,0.738,177,"BO(30), BG(30), NM(30), VK(30)",0.7667,0.9022,0.075,0.9595
AdamW,60,0.988,0.721,173,"EM(30), NM(30), VK(30)",0.7708,0.8595,0.1083,0.9323
RMSProp,5,0.891,0.358,86,BG(26),0.525,0.4603,0.2833,0.8267
RMSProp,10,0.961,0.438,105,VK(28),0.5042,0.562,0.2208,0.8085
RMSProp,20,0.833,0.329,79,NM(30),0.6583,0.3671,0.4167,0.8515
RMSProp,40,0.921,0.408,98,BG(28),0.5542,0.4962,0.2792,0.8415
RMSProp,60,0.969,0.438,105,BO(29),0.6042,0.5103,0.2958,0.839
Lion,5,0.962,0.463,111,NM(30),0.5083,0.7131,0.1458,0.8648
Lion,10,0.987,0.442,106,BO(30),0.7667,0.5,0.3833,0.9157
Lion,20,0.998,0.658,158,"DT(29), NM(29)",0.725,0.8046,0.1417,0.9228
Lion,40,0.998,0.517,124,"BO(27), NM(27)",0.7542,0.6188,0.2875,0.9404
Lion,60,1.0,0.596,143,"DT(28), NM(28)",0.775,0.6774,0.25,0.9249
Aida,5,1.0,0.579,139,"EM(30), NM(30)",0.6833,0.7439,0.175,0.9239
Aida,10,1.0,0.667,160,"EM(30), NM(30)",0.6917,0.8193,0.125,0.9058
Aida,20,1.0,0.654,157,"BG(30), EM(30), NM(30)",0.7625,0.7377,0.2,0.9254
Aida,40,1.0,0.667,160,"BG(30), EM(30), NM(30)",0.7583,0.7967,0.1542,0.9406
Aida,60,1.0,0.754,181,"BO(30), BG(30), EM(30), NM(30)",0.8208,0.8325,0.1375,0.939
