Optimizer,Epochs,Tr.A,Te.A,Cor.Cl,CHCR,Coverage@0.75,SelAcc@0.75,HCER@0.75,MCCP
Adam,5,0.991,0.521,125,BO(30),0.7042,0.6509,0.2458,0.9385
Adam,10,1.0,0.667,160,NM(30),0.8042,0.7461,0.2042,0.9398
Adam,20,1.0,0.7,168,NM(30),0.7792,0.8235,0.1375,0.9463
Adam,40,1.0,0.746,179,"BO(30), DT(30), NM(30), VK(30)",0.825,0.8586,0.1167,0.967
Adam,60,1.0,0.679,163,"BG(30), NM(30)",0.8375,0.7811,0.1833,0.9651
AdamW,5,1.0,0.713,171,NM(30),0.75,0.8389,0.1208,0.9269
AdamW,10,0.88,0.521,125,"NM(30), VK(30)",0.4375,0.8,0.0875,0.8256
AdamW,20,1.0,0.692,166,"NM(30), VK(30)",0.8708,0.7608,0.2083,0.9675
AdamW,40,1.0,0.65,156,NM(29),0.8458,0.7044,0.25,0.9561
AdamW,60,1.0,0.671,161,NM(30),0.8917,0.715,0.2542,0.9739
RMSProp,5,0.158,0.167,40,"EM(20), NM(20)",0.025,0.6667,0.0083,0.3199
RMSProp,10,0.112,0.104,25,NM(13),0.0042,0.0,0.0042,0.1739
RMSProp,20,0.946,0.179,43,EM(18),0.7583,0.2198,0.5917,0.9412
RMSProp,40,0.972,0.188,45,NM(26),0.8167,0.1939,0.6583,0.9123
RMSProp,60,0.992,0.258,62,NM(17),0.6792,0.3006,0.475,0.8646
Lion,5,0.698,0.246,59,BG(25),0.35,0.4048,0.2083,0.7697
Lion,10,0.874,0.263,63,BG(22),0.8542,0.2927,0.6042,0.9701
Lion,20,0.955,0.325,78,BG(20),0.8333,0.33,0.5583,0.919
Lion,40,0.981,0.254,61,NM(23),0.7958,0.2827,0.5708,0.9346
Lion,60,0.914,0.212,51,NM(18),0.6542,0.2611,0.4833,0.8885
Aida,5,0.997,0.604,145,NM(30),0.7583,0.7253,0.2083,0.9376
Aida,10,1.0,0.683,164,"NM(30), VK(30)",0.8958,0.7163,0.2542,0.9588
Aida,20,1.0,0.775,186,"BO(30), NM(30)",0.9292,0.8072,0.1792,0.9807
Aida,40,1.0,0.796,191,"BO(30), NM(30), VK(30)",0.9125,0.8402,0.1458,0.9778
Aida,60,1.0,0.696,167,NM(30),0.9167,0.7182,0.2583,0.9684
